ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10
39.28125,39.28125,21.25,30.0625,27.875,7.90625,13.75,32.78125,15.84375,11.96875
37.40625,40.125,21.84375,31.375,26.125,7.21875,14.6875,33.34375,15.75,12.125
38.6875,37.9375,20.25,31.03125,28.25,8.28125,13.96875,33.9375,15.75,11.90625
39.46875,38.4375,21.21875,29.3125,27.03125,8.84375,14.375,33.75,15.28125,12.28125
39.0625,38.84375,21.15625,30.53125,27.25,7.28125,14.03125,33.3125,15.65625,12.875
39.59375,39.4375,20.8125,30.5,26.875,8.3125,14.4375,33.4375,14.90625,11.6875
39.40625,39.84375,21.625,29.5,27.28125,8.15625,13.3125,32.84375,16.0,12.03125
39.59375,39.40625,21.34375,29.75,26.90625,7.40625,14.59375,34.46875,15.4375,11.09375
39.96875,39.65625,21.0625,29.71875,26.78125,7.25,13.34375,33.96875,15.78125,12.46875
38.65625,39.84375,20.8125,31.6875,27.21875,7.46875,14.46875,32.78125,15.71875,11.34375
39.6875,40.25,21.125,30.3125,25.3125,7.71875,14.5,33.84375,15.125,12.125
38.75,38.5,21.25,30.28125,25.78125,7.34375,15.21875,34.40625,16.28125,12.1875
38.21875,38.15625,21.59375,30.25,27.84375,8.125,14.59375,33.53125,15.40625,12.28125
38.28125,38.375,21.875,29.8125,27.78125,8.375,14.78125,32.96875,15.71875,12.03125
38.75,37.59375,21.28125,29.65625,28.6875,8.71875,14.375,32.96875,15.875,12.09375
38.9375,39.09375,21.125,30.59375,27.0625,7.53125,14.9375,33.0,16.0,11.71875
39.53125,39.09375,21.21875,30.0625,26.71875,7.34375,13.65625,34.8125,15.46875,12.09375
39.8125,39.375,21.40625,30.15625,25.6875,7.59375,14.5,34.125,16.15625,11.1875
39.59375,38.9375,21.8125,29.84375,26.5625,8.0625,14.75,33.5,15.59375,11.34375
38.84375,39.15625,21.375,29.28125,27.09375,7.5625,15.5,33.78125,15.53125,11.875
39.625,38.40625,21.03125,30.1875,26.78125,7.71875,13.65625,33.90625,16.0625,12.625
37.71875,39.3125,21.71875,30.125,28.28125,8.5625,13.90625,33.5,15.625,11.25
38.9375,39.25,21.375,29.96875,26.5,8.34375,15.0,33.28125,15.03125,12.3125
38.59375,39.59375,20.84375,29.9375,27.3125,7.15625,15.0625,33.9375,15.40625,12.15625
37.6875,38.96875,21.5,30.5625,27.03125,7.84375,14.1875,34.53125,16.03125,11.65625
38.9375,39.40625,20.875,30.59375,26.34375,7.28125,14.90625,33.625,16.0,12.03125
39.1875,38.15625,21.125,30.21875,27.46875,8.0625,15.09375,33.03125,15.15625,12.5
38.28125,38.40625,20.84375,30.40625,26.625,7.875,15.28125,34.3125,15.34375,12.625
38.0,38.75,21.28125,30.6875,27.25,8.15625,14.40625,33.96875,15.5625,11.9375
38.25,38.34375,21.78125,31.09375,26.0625,8.09375,14.46875,33.625,14.875,13.40625
38.6875,39.15625,21.3125,30.28125,27.21875,8.0,13.21875,34.28125,15.65625,12.1875
37.90625,39.03125,20.9375,29.875,27.6875,8.15625,14.84375,33.90625,15.4375,12.21875
38.15625,37.6875,21.53125,30.59375,27.84375,7.78125,15.09375,33.90625,15.3125,12.09375
38.96875,39.21875,21.09375,30.9375,27.4375,7.625,14.15625,32.84375,14.90625,12.8125
39.9375,39.6875,21.03125,29.96875,26.5,7.5,14.65625,33.21875,15.375,12.125
39.21875,39.9375,21.59375,29.34375,27.03125,7.3125,14.34375,34.375,15.65625,11.1875
39.15625,38.375,21.0625,29.46875,27.0,8.5625,13.71875,33.84375,15.78125,13.03125
38.53125,39.25,21.40625,31.1875,27.15625,7.96875,13.46875,33.125,15.71875,12.1875
39.875,39.15625,20.46875,30.5625,27.4375,7.5,14.90625,33.4375,14.71875,11.9375
38.3125,39.0625,22.625,29.21875,27.15625,8.125,13.625,34.6875,15.625,11.5625
37.46875,39.34375,21.1875,30.625,26.53125,8.125,14.40625,33.53125,15.875,12.90625
37.71875,38.9375,21.5625,30.0625,27.53125,8.25,14.96875,32.875,15.625,12.46875
38.1875,38.5,21.125,30.5625,27.0,8.65625,14.53125,33.4375,15.6875,12.3125
38.96875,39.25,20.5625,30.75,26.71875,7.75,14.15625,33.6875,16.71875,11.4375
