ma1,ma2,ma3,ma4,ma5,ma6
7.21875,13.03125,9.5625,7.59375,10.03125,10.5625
6.4375,14.3125,9.5,7.84375,10.15625,9.75
6.53125,13.75,8.40625,7.75,10.75,10.8125
6.84375,13.3125,8.21875,7.96875,10.09375,11.5625
6.84375,13.8125,8.875,7.53125,9.84375,11.09375
6.46875,13.53125,9.03125,7.8125,9.9375,11.21875
6.875,13.8125,8.46875,8.0,9.53125,11.3125
6.6875,14.0625,8.0625,7.09375,11.0625,11.03125
6.625,13.6875,8.375,7.53125,10.40625,11.375
6.03125,14.3125,8.5625,7.59375,9.78125,11.71875
6.125,13.875,8.78125,8.5,10.6875,10.03125
6.3125,13.84375,8.3125,8.46875,10.0625,11.0
6.8125,13.84375,8.5625,7.40625,10.59375,10.78125
6.84375,14.0,8.0,8.34375,10.40625,10.40625
5.875,14.1875,9.0,7.8125,10.46875,10.65625
6.15625,14.15625,9.0625,7.9375,9.875,10.8125
6.4375,13.09375,8.90625,7.875,10.71875,10.96875
5.875,14.03125,8.75,8.46875,10.375,10.5
6.25,14.21875,8.78125,8.0,10.3125,10.4375
5.90625,13.84375,9.28125,7.9375,10.25,10.78125
6.75,12.84375,9.15625,7.78125,10.9375,10.53125
6.59375,13.75,8.84375,8.0625,9.71875,11.03125
6.65625,13.9375,8.6875,8.40625,9.75,10.5625
6.53125,14.625,8.9375,7.5625,10.3125,10.03125
6.40625,13.59375,8.875,8.6875,9.875,10.5625
6.0,14.09375,8.28125,7.9375,10.125,11.5625
5.65625,14.09375,8.71875,8.15625,10.0625,11.3125
6.4375,13.84375,8.84375,8.1875,10.1875,10.5
6.4375,13.3125,8.71875,7.9375,10.5,11.09375
6.5625,13.875,8.59375,8.125,10.125,10.71875
6.3125,13.78125,8.6875,8.53125,9.28125,11.40625
6.625,13.03125,9.3125,7.65625,10.3125,11.0625
6.6875,13.65625,8.59375,7.96875,10.375,10.71875
6.59375,13.84375,8.125,7.96875,10.9375,10.53125
6.46875,14.1875,8.25,8.0625,10.96875,10.0625
6.1875,14.28125,8.71875,7.75,10.21875,10.84375
6.53125,13.65625,7.8125,8.3125,11.125,10.5625
6.375,13.59375,9.03125,7.875,10.375,10.75
5.96875,13.84375,8.40625,8.125,11.15625,10.5
6.3125,13.40625,9.21875,7.9375,11.15625,9.96875
6.46875,13.5625,8.71875,7.53125,10.71875,11.0
5.875,13.9375,8.78125,8.125,10.25,11.03125
6.53125,13.1875,8.8125,8.1875,10.1875,11.09375
5.90625,13.65625,8.5625,7.78125,10.46875,11.625
6.21875,14.34375,8.75,7.375,10.84375,10.46875
6.09375,13.0625,9.53125,8.5,11.0,9.8125
6.8125,13.875,8.59375,7.71875,10.34375,10.65625
6.3125,14.34375,8.4375,7.96875,10.125,10.8125
5.90625,14.25,9.34375,8.15625,9.625,10.71875
6.21875,14.0,8.1875,7.8125,10.0625,11.71875
6.375,13.59375,9.4375,7.625,10.0625,10.90625
6.34375,14.6875,8.21875,7.40625,10.40625,10.9375
6.0625,13.8125,8.65625,7.9375,9.53125,12.0
6.46875,13.53125,9.1875,7.59375,11.34375,9.875
6.59375,13.9375,8.59375,7.78125,10.15625,10.9375
7.0625,13.59375,8.84375,7.84375,10.46875,10.1875
7.0,13.4375,8.375,8.21875,10.9375,10.03125
