ma1,ma2,ma3,ma4,ma5,ma6,ma7,ma8,ma9,ma10,ma11,ma12,ma13,ma14,ma15
22.03125,39.78125,13.375,15.78125,26.4375,18.90625,26.25,11.5625,24.78125,35.8125,0.0,0.0,5.28125,0.0,0.0
21.78125,38.875,14.59375,14.75,28.0625,19.5,25.40625,12.46875,25.53125,34.0625,0.0,0.0,4.96875,0.0,0.0
22.65625,38.15625,13.375,15.6875,26.4375,19.96875,26.28125,12.0625,24.3125,35.53125,0.0,0.0,5.53125,0.0,0.0
22.375,38.84375,13.125,16.09375,25.875,19.375,26.96875,11.59375,24.8125,36.125,0.0,0.0,4.8125,0.0,0.0
21.28125,40.78125,13.59375,15.5,27.03125,18.59375,25.0,12.21875,24.4375,36.15625,0.0,0.0,5.40625,0.0,0.0
20.75,39.03125,13.25,16.34375,26.53125,19.5625,25.59375,11.25,26.09375,36.15625,0.0,0.0,5.4375,0.0,0.0
21.71875,38.03125,14.0,14.8125,26.875,18.375,26.875,11.96875,25.9375,35.84375,0.0,0.0,5.5625,0.0,0.0
21.46875,38.9375,13.75,14.9375,26.34375,19.15625,26.1875,12.78125,24.1875,37.09375,0.0,0.0,5.15625,0.0,0.0
20.9375,39.375,13.4375,16.46875,26.625,19.65625,25.28125,12.03125,24.625,36.375,0.0,0.0,5.1875,0.0,0.0
22.78125,38.4375,13.53125,15.75,26.6875,19.3125,26.0,11.71875,24.875,35.96875,0.0,0.0,4.9375,0.0,0.0
22.59375,38.96875,13.15625,15.40625,26.5,19.46875,25.90625,11.875,25.375,35.6875,0.0,0.0,5.0625,0.0,0.0
20.34375,40.1875,13.71875,15.5625,26.1875,18.5625,27.6875,12.6875,24.625,34.71875,0.0,0.0,5.71875,0.0,0.0
21.46875,39.90625,13.28125,15.03125,26.3125,19.03125,26.3125,12.84375,24.53125,35.4375,0.0,0.0,5.84375,0.0,0.0
21.5,40.09375,13.96875,14.84375,25.75,19.15625,26.875,11.84375,26.3125,34.375,0.0,0.0,5.28125,0.0,0.0
22.1875,39.65625,12.3125,15.875,27.40625,19.5,25.40625,11.8125,24.9375,35.21875,0.0,0.0,5.6875,0.0,0.0
21.0,41.15625,14.4375,14.4375,26.59375,18.84375,27.71875,11.96875,23.59375,35.21875,0.0,0.0,5.03125,0.0,0.0
20.59375,39.21875,14.03125,15.09375,28.0,18.28125,26.59375,12.75,25.4375,34.1875,0.0,0.0,5.8125,0.0,0.0
21.65625,38.4375,13.8125,16.5,27.6875,19.875,25.6875,11.59375,24.875,34.34375,0.0,0.0,5.53125,0.0,0.0
21.125,38.9375,13.8125,14.96875,27.34375,18.71875,27.0,12.65625,25.0,35.53125,0.0,0.0,4.90625,0.0,0.0
21.4375,39.46875,14.25,15.09375,26.9375,18.53125,26.28125,12.25,24.5625,35.5,0.0,0.0,5.6875,0.0,0.0
22.46875,39.5625,14.375,16.3125,26.4375,18.375,25.53125,11.0,24.375,36.5,0.0,0.0,5.0625,0.0,0.0
21.34375,38.5625,14.625,15.0625,27.15625,18.625,25.5625,12.96875,24.78125,36.40625,0.0,0.0,4.90625,0.0,0.0
23.09375,38.84375,12.65625,14.3125,26.96875,19.1875,25.53125,12.03125,25.8125,36.3125,0.0,0.0,5.25,0.0,0.0
21.5625,39.625,12.75,15.0625,25.96875,19.5,27.15625,11.03125,25.40625,35.9375,0.0,0.0,6.0,0.0,0.0
22.03125,40.0625,12.90625,15.0,26.9375,19.21875,26.3125,12.84375,24.59375,35.09375,0.0,0.0,5.0,0.0,0.0
21.875,38.875,13.5625,16.34375,26.125,20.09375,25.84375,12.9375,23.78125,35.59375,0.0,0.0,4.96875,0.0,0.0
21.78125,38.28125,13.28125,15.65625,27.625,19.34375,25.84375,11.875,25.40625,35.59375,0.0,0.0,5.3125,0.0,0.0
21.3125,38.0625,14.0625,17.09375,26.375,20.15625,25.09375,11.46875,25.5625,35.625,0.0,0.0,5.1875,0.0,0.0
21.59375,39.84375,13.90625,15.65625,26.0625,18.125,25.375,11.84375,24.84375,37.34375,0.0,0.0,5.40625,0.0,0.0
23.53125,38.75,13.65625,14.875,26.53125,18.5625,26.1875,12.84375,24.1875,35.625,0.0,0.0,5.25,0.0,0.0
21.25,38.0,12.78125,15.875,26.5625,19.1875,26.96875,11.90625,25.15625,36.8125,0.0,0.0,5.5,0.0,0.0
21.59375,40.0,13.46875,14.625,27.75,19.625,26.40625,11.8125,24.1875,35.0625,0.0,0.0,5.46875,0.0,0.0
22.46875,37.875,14.28125,16.1875,26.59375,18.625,25.8125,11.84375,24.96875,35.90625,0.0,0.0,5.4375,0.0,0.0
23.09375,38.46875,13.25,15.59375,26.875,19.46875,25.6875,11.96875,24.375,36.28125,0.0,0.0,4.9375,0.0,0.0
21.9375,38.875,12.8125,15.25,26.875,18.9375,26.71875,12.34375,26.0625,35.28125,0.0,0.0,4.90625,0.0,0.0
21.28125,40.875,13.9375,14.71875,26.03125,18.8125,26.46875,12.15625,25.53125,34.46875,0.0,0.0,5.71875,0.0,0.0
